dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,fitness,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
Sepsis Cases - Event Log.xes,0.2,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.5}",210,840,32,69,161,16,53,24,2,8,75,1,5,39,11903,870,11033,3,13120,11900,11038,10382,0.14312602480016395,11033,0.9269091825590188,1,870,0.07309081744098127,11903,3012,10108,10108,3012,0.04898330010473728,0.25895810034126043,0.3079414004459977,0.021755700272306177,11903
Sepsis Cases - Event Log.xes,0.4,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.5}",420,630,38,75,182,16,59,24,2,10,78,1,5,39,8879,655,8224,3,9901,8876,8242,7638,0.1535180372210344,8224,0.9262304313548823,1,655,0.07376956864511769,8879,2346,7555,7555,2346,0.06927240081131458,0.20994829945266247,0.27922070026397705,0.02364548929526551,8879
Sepsis Cases - Event Log.xes,0.6,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.5}",630,420,39,77,187,16,61,24,2,11,79,1,5,39,5908,433,5475,3,6587,5905,5487,5095,0.15208374280955472,5475,0.9267095463777928,1,433,0.07329045362220718,5908,1557,5030,5030,1557,0.09467189945280552,0.10254369955509901,0.19721559900790453,0.01735675347919753,5908
Sepsis Cases - Event Log.xes,0.8,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.5}",840,210,34,76,180,16,60,25,2,11,83,1,5,41,2753,416,2337,1,3085,2752,2339,2158,0.22882912913195885,2337,0.848892117689793,1,416,0.15110788231020705,2753,970,2115,2115,970,0.17882930021733046,0.05130609963089228,0.23013539984822273,0.018636432848126508,2753
