dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,generalization,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
Sepsis Cases - Event Log.xes,0.01,1,org:group,token_replay,distributed,alpha,alpha,{},10,1040,7,13,16,13,0,13,13,0,[],0,[],1.0,14,0,5,13,1,4,20,14987,12556,2431,618,6814,6408,2154,1748,0.7055510484216421,2431,0.16220724628010944,1,12556,0.8377927537198906,0.7313475447278264,0.025796496306184302,14987,2412,3362,3362,2412,0.010436399999889545,0.4304113999969559,0.4408477999968454,0.02871898311849976,14987
Sepsis Cases - Event Log.xes,0.05,1,org:group,token_replay,distributed,alpha,alpha,{},52,998,9,14,26,14,0,14,14,0,[],0,[],1.0,22,0,8,29,1,4,32,14387,9174,5213,121,11515,13477,5201,7163,0.5084150797948458,5213,0.3623410022937374,1,9174,0.6376589977062626,0.49926846401144603,-0.009146615783399759,14387,6549,3968,3968,6549,0.004674000010709278,0.5694564000004902,0.5741304000111995,0.03958131646628833,14387
Sepsis Cases - Event Log.xes,0.1,1,org:group,token_replay,distributed,alpha,alpha,{},105,945,9,16,35,16,0,16,16,0,[],0,[],1.0,24,1,8,49,1,5,37,13576,5821,7755,10,14393,17683,7945,11235,0.40631978088181575,7755,0.5712286387743076,1,5821,0.42877136122569237,0.38727914561158294,-0.01904063527023281,13576,9636,3812,3812,9636,0.009299099998315796,0.6493946999980835,0.6586937999963993,0.0478340232762289,13576
Sepsis Cases - Event Log.xes,0.2,1,org:group,token_replay,distributed,alpha,alpha,{},210,840,8,16,39,16,0,16,16,0,[],0,[],1.0,24,1,7,53,1,5,39,11903,3508,8395,3,14660,15983,9426,10749,0.3422494304359364,8395,0.7052843820885492,1,3508,0.2947156179114509,0.32281687408252374,-0.019432556353412678,11903,9433,4387,4387,9433,0.023145800005295314,0.5934672000003047,0.6166130000056,0.0498586238763593,11903
