dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,generalization,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",1503,148867,15,24,53,10,14,11,10,1,"[""Appeal to Judge""]",0,[],0.9090909090909091,10,2,3,24,1,4,24,555855,487600,68255,552,712423,704170,68410,60144,0.9092821971086922,68255,0.12279281467289131,1,487600,0.8772071853271087,0.9095045800301051,0.0002223829214129669,555855,443938,414174,414174,334550,0.06809980000252835,33.10715929999424,33.175259099996765,0.059560783477695146,555855
Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",7518,142852,16,28,60,11,17,11,11,0,[],0,[],1.0,11,1,3,25,1,5,28,533451,468200,65251,0,683291,676303,65915,58915,0.9082098638181135,65251,0.12231863845039188,1,468200,0.8776813615496081,0.9085848779501595,0.0003750141320459921,533451,425645,394446,394446,320279,0.22904340000241064,36.37346819999948,36.60251160000189,0.06818520951315019,533451
Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",15037,135333,18,31,68,11,20,11,11,0,[],0,[],1.0,11,2,4,27,1,5,31,505486,443351,62135,0,646402,640819,62838,57243,0.9067300862851422,62135,0.12292130741504216,1,443351,0.8770786925849579,0.9072054468441966,0.0004753605590543941,505486,400624,482073,482073,249351,0.44550230000459123,49.753142699999444,50.198645000004035,0.09842635147165192,505486
Road_Traffic_Fine_Management_Process.xes,0.2,1,concept:name,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",30074,120296,19,34,72,11,23,11,11,0,[],0,[],1.0,11,2,3,24,1,6,34,449579,397974,51605,0,569875,569875,51605,51289,0.9097223075235797,51605,0.11478516567722247,1,397974,0.8852148343227775,0.9085901454583876,-0.001132162065192177,449579,351863,430079,430079,216593,0.9904657000006409,35.74958369999513,36.74004939999577,0.07951791275836978,449579
