dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,generalization,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,token_replay,distributed,alpha,alpha,{},1503,148867,13,11,36,11,0,11,11,0,[],0,[],1.0,11,1,5,36,1,1,11,555855,475333,80522,0,716644,1077257,80566,441179,0.7390197710304585,80522,0.14486151964091354,1,475333,0.8551384803590865,0.7386329745873301,-0.0003867964431283344,555855,485035,227928,227928,339849,0.04209239999909187,30.24564040000405,30.28773280000314,0.05441282420775931,555855
Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,token_replay,distributed,alpha,alpha,{},7518,142852,15,11,37,11,0,11,11,0,[],0,[],1.0,11,1,6,37,1,1,11,533451,473402,60049,0,720247,1037321,115658,432732,0.7111279597854927,60049,0.11256703989682276,1,473402,0.8874329601031772,0.7102496575284127,-0.0008783022570799659,533451,486409,254872,254872,322523,0.18849200000113342,26.943187199998647,27.13167919999978,0.05050733281969411,533451
Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,token_replay,distributed,alpha,alpha,{},15037,135333,15,11,38,11,0,11,11,0,[],0,[],1.0,11,1,5,38,1,1,11,505486,444893,60593,0,685281,964503,113293,392515,0.7138578435953997,60593,0.11987077782569645,1,444893,0.8801292221743036,0.7134548952760058,-0.0004029483193939143,505486,440699,245168,245168,304780,0.37673880000511417,25.497256700000435,25.87399550000555,0.05044107393676666,505486
Road_Traffic_Fine_Management_Process.xes,0.2,1,concept:name,token_replay,distributed,alpha,alpha,{},30074,120296,15,11,41,11,0,11,11,0,[],0,[],1.0,11,1,6,41,1,1,11,449579,312389,137190,0,695428,1008785,184158,497515,0.6210025732520993,137190,0.3051521534591251,1,312389,0.694847846540875,0.6209101605050097,-9.241274708959857e-05,449579,448531,301283,301283,273849,0.7892285999987507,25.385202000004938,26.17443060000369,0.05646438556962166,449579
