dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,fitness,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
Sepsis Cases - Event Log.xes,0.2,1,org:group,token_replay,distributed,inductive,inductive,{},210,840,34,45,104,16,29,24,2,7,69,1,5,39,11903,883,11020,3,11900,11900,11017,10741,0.08579831932773113,11020,0.925817020919096,1,883,0.07418297908090397,11903,1361,10539,10539,1361,0.048402500338852406,0.23614179994910955,0.28454430028796196,0.01983884734513228,11903
Sepsis Cases - Event Log.xes,0.4,1,org:group,token_replay,distributed,inductive,inductive,{},420,630,35,47,108,16,31,24,2,7,71,1,5,39,8879,661,8218,3,8876,8876,8215,8037,0.08449752140603878,8218,0.9255546795810339,1,661,0.0744453204189661,8879,1000,7876,7876,1000,0.11940099950879812,0.1591425994411111,0.2785435989499092,0.017923482311196205,8879
Sepsis Cases - Event Log.xes,0.6,1,org:group,token_replay,distributed,inductive,inductive,{},630,420,39,49,116,16,33,24,2,7,72,1,5,39,5908,318,5590,3,5905,5905,5587,5587,0.05385266723116,5590,0.9461746784021665,1,318,0.053825321597833445,5908,549,5356,5356,549,0.36345179937779903,0.2602121001109481,0.6236638994887471,0.0440440250695579,5908
Sepsis Cases - Event Log.xes,0.8,1,org:group,token_replay,distributed,inductive,inductive,{},840,210,39,49,116,16,33,25,2,7,76,1,5,41,2753,158,2595,1,2752,2752,2594,2594,0.057412790697674465,2595,0.9426080639302579,1,158,0.0573919360697421,2753,268,2484,2484,268,0.4900687001645565,0.0457573002204299,0.5358260003849864,0.016620886385917143,2753
