dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,generalization,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
Hospital_log.xes,0.01,1,org:group,token_replay,distributed,alpha,alpha,{},11,1132,55,132,166,132,0,132,132,0,[],0,[],1.0,15,0,28,93,1,61,145,148155,104483,43672,7562,69681,93422,43045,66786,0.3336855686868062,43672,0.29477236677803653,1,104483,0.7052276332219635,0.35490930020550376,0.021223731518697553,148155,41642,46461,46461,22088,0.02615378051996231,3.0973936449736357,3.123547425493598,0.020906440180713682,148155
Hospital_log.xes,0.05,1,org:group,token_replay,distributed,alpha,alpha,{},57,1086,143,230,518,230,0,230,230,0,[],0,[],1.0,24,0,66,235,1,96,262,141091,90133,50958,2597,113132,104280,78580,69728,0.31837592459825165,50958,0.36117115903920166,1,90133,0.6388288409607984,0.33661287245441823,0.018236947856166585,141091,59487,77594,77594,34452,0.15786811523139477,5.76064638607204,5.918514501303434,0.04082929730508707,141091
Hospital_log.xes,0.075,1,org:group,token_replay,distributed,alpha,alpha,{},85,1058,165,255,669,255,0,255,255,0,[],0,[],1.0,24,0,65,307,1,100,293,137281,88085,49196,2113,113150,114715,79051,80616,0.29930536549021014,49196,0.3583598604322521,1,88085,0.6416401395677479,0.32400619337796066,0.02470082788775052,137281,67640,75866,75866,36226,2.0888606403023005,6.28291473351419,8.37177537381649,0.04576681939608678,137281
Hospital_log.xes,0.1,1,org:group,token_replay,distributed,alpha,alpha,{},114,1029,187,265,801,265,0,265,265,0,[],0,[],1.0,24,0,79,377,1,100,303,135159,88437,46722,2013,112634,111672,81555,80593,0.2771176131476477,46722,0.3456817526024904,1,88437,0.6543182473975095,0.30857428431371614,0.03145667116606843,135159,79347,71113,71113,40492,1.521633829921484,6.842251725494862,8.363885555416346,0.05062372261924742,135159
