dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,fitness,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
Hospital_log.xes,0.05,1,org:group,token_replay,distributed,inductive,inductive,{},57,1086,383,642,1370,230,412,24,2,151,416,1,96,262,141091,2736,138355,2597,138494,138494,135758,135758,0.019755368463615808,138355,0.9806082599173583,1,2736,0.0193917400826417,141091,6697,131797,131797,6697,182.86982189999253,23.715229600013117,206.58505150000565,0.16808463757442443,141091
Hospital_log.xes,0.075,1,org:group,token_replay,distributed,inductive,inductive,{},85,1058,414,695,1492,255,440,24,2,144,457,1,100,293,137281,3345,133936,2113,135168,135168,131823,131823,0.02474698153409094,133936,0.9756339187505918,1,3345,0.024366081249408148,137281,6995,128173,128173,6995,343.4869209999888,24.998618800003896,368.4855397999927,0.18209816944809476,137281
Hospital_log.xes,0.1,1,org:group,token_replay,distributed,inductive,inductive,{},114,1029,427,713,1554,265,448,24,2,140,467,1,100,303,135159,1076,134083,2013,133146,133146,132070,133099,0.0042171751310591254,134083,0.992039005911556,1,1076,0.00796099408844398,135159,8635,124511,124511,8635,424.2136615000054,25.77631429999019,449.9899757999956,0.19071104624915983,135159
Hospital_log.xes,0.125,1,org:group,token_replay,distributed,inductive,inductive,{},142,1001,467,773,1682,294,479,27,2,142,516,1,108,336,131626,729,130897,1533,130093,130093,129364,130365,0.0017564357805570086,130897,0.9944615805387993,1,729,0.005538419461200675,131626,7810,122283,122283,7810,748.148551700011,27.94157880000421,776.0901305000152,0.21228008752073457,131626
