dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,fitness,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
Hospital_log.xes,0.05,1,org:group,token_replay,distributed,alpha,alpha,{},57,1086,143,230,518,230,0,24,0,66,235,1,96,262,141091,89993,51098,2597,112046,103194,80926,70648,0.2965648116462025,51098,0.36216342644109123,1,89993,0.6378365735589088,141091,33843,78203,78203,33843,0.36151459999382496,18.59085480000067,18.952369399994495,0.13176499422359095,141091
Hospital_log.xes,0.075,1,org:group,token_replay,distributed,alpha,alpha,{},85,1058,165,255,669,255,0,24,0,65,307,1,100,293,137281,87990,49291,2113,112092,113657,81677,80739,0.28048270892129673,49291,0.35905187170839375,1,87990,0.6409481282916063,137281,35763,76329,76329,35763,3.5064124000055017,19.466288199997507,22.97270060000301,0.14179885198969638,137281
Hospital_log.xes,0.1,1,org:group,token_replay,distributed,alpha,alpha,{},114,1029,187,265,801,265,0,24,0,79,377,1,100,303,135159,88364,46795,2013,111605,110643,84638,81192,0.2539046886887398,46795,0.346221857220015,1,88364,0.653778142779985,135159,39651,71954,71954,39651,2.700089099991601,20.478016399996704,23.178105499988305,0.1515105645942683,135159
Hospital_log.xes,0.125,1,org:group,token_replay,distributed,alpha,alpha,{},142,1001,234,294,1017,294,0,27,0,103,487,1,108,336,131626,85843,45783,1533,124595,124748,93560,91280,0.2586859521492468,45783,0.3478264172731831,1,85843,0.6521735827268169,131626,47499,77096,77096,47499,19.056631900006323,22.00298479999765,41.05961670000397,0.1671629070244302,131626
