dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,fitness,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
Hospital_log.xes,0.05,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",57,1086,197,335,782,102,233,18,2,93,215,1,58,133,141091,20557,120534,6947,141101,134730,116282,110997,0.17602379264734247,120534,0.8542997072811165,1,20557,0.14570029271888355,141091,7528,133573,133573,7528,0.7432663999934448,10.70794670000032,11.451213099993765,0.0758939032255801,141091
Hospital_log.xes,0.075,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",85,1058,233,397,938,119,278,20,2,96,247,1,62,155,137281,16728,120553,5479,138233,133554,117321,113700,0.14996988894782348,120553,0.8781477407652917,1,16728,0.12185225923470837,137281,16313,121920,121920,16313,1.1174984999961453,12.480071199999657,13.597569699995802,0.09090894734158154,137281
Hospital_log.xes,0.1,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",114,1029,249,423,1009,125,298,20,2,98,264,1,63,161,135159,15137,120022,5158,136408,131962,117310,113893,0.13846611644947515,120022,0.8880059781442597,1,15137,0.11199402185574027,135159,28226,108182,108182,28226,1.3801897000084864,13.165465700003551,14.545655400012038,0.09740724406072516,135159
Hospital_log.xes,0.125,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",142,1001,286,485,1162,139,346,22,2,108,286,1,71,179,131626,12394,119232,4019,134478,128506,119725,114754,0.10836006761691896,119232,0.905839271876377,1,12394,0.09416072812362299,131626,6435,128043,128043,6435,1.7651227000023937,13.878378900000826,15.64350160000322,0.10543797502013907,131626
