dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,generalization,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
Sepsis Cases - Event Log.xes,0.01,1,org:group,token_replay,distributed,inductive,inductive,{},10,1040,28,29,74,13,16,13,13,0,[],0,[],1.0,14,2,9,44,1,9,36,14987,14100,887,618,15409,15409,575,4935,0.8212083847102343,887,0.059184626676452926,1,14100,0.940815373323547,1.0,0.17879161528976573,14987,11511,23914,23914,4383,0.019327900001371745,0.9229454000014812,0.9422733000028529,0.06158306532337901,14987
Sepsis Cases - Event Log.xes,0.05,1,org:group,token_replay,distributed,inductive,inductive,{},52,998,35,42,100,14,28,14,14,0,[],0,[],1.0,22,2,13,73,1,15,60,14387,14222,165,121,15264,15264,79,402,0.9842439727463312,165,0.011468687009105442,1,14222,0.9885313129908946,1.0,0.01575602725366876,14387,14720,32215,32215,6778,0.07537319999391912,1.5725985999961267,1.6479717999900458,0.10930691596553324,14387
Sepsis Cases - Event Log.xes,0.1,1,org:group,token_replay,distributed,inductive,inductive,{},105,945,37,47,110,16,31,16,16,0,[],0,[],1.0,24,2,13,81,1,15,68,13576,13537,39,10,14511,14511,29,38,0.9976914065191923,39,0.0028727165586328817,1,13537,0.9971272834413671,1.0,0.002308593480807697,13576,14779,32115,32115,7338,0.03837059999932535,1.6304613000029349,1.6688319000022602,0.12009879935201347,13576
Sepsis Cases - Event Log.xes,0.2,1,org:group,token_replay,distributed,inductive,inductive,{},210,840,34,45,104,16,29,16,16,0,[],0,[],1.0,24,2,12,81,1,15,68,11903,11880,23,3,12740,12740,20,20,0.9984301412872841,23,0.001932285978324792,1,11880,0.9980677140216752,1.0,0.0015698587127158659,11903,15398,26307,26307,7279,0.05043179999483982,1.618868500001554,1.6693002999963937,0.13600508275237788,11903
