dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,generalization,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
Sepsis Cases - Event Log.xes,0.01,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",10,1040,12,19,38,10,9,13,10,3,"[""Admission IC"", ""Release B"", ""Return ER""]",0,[],0.7692307692307693,11,2,6,29,1,9,25,14987,11821,3166,1068,14853,14959,2514,2620,0.8277979334857093,3166,0.2112497497831454,1,11821,0.7887502502168546,0.8932504271881526,0.06545249370244333,14987,5773,13279,13279,5092,0.009691499995824415,0.4935764999972889,0.5032679999931133,0.03293364248997724,14987
Sepsis Cases - Event Log.xes,0.05,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",52,998,18,35,74,12,23,14,12,2,"[""Release B"", ""Release C""]",0,[],0.8571428571428571,22,2,8,60,1,15,53,14387,12201,2186,194,15826,15191,2183,1667,0.8761632005015907,2186,0.15194272607214845,1,12201,0.8480572739278516,0.8974546738785083,0.021291473376917613,14387,8349,17540,17540,6175,0.011018600001989398,1.0014499000026262,1.0124685000046156,0.06960797247533372,14387
Sepsis Cases - Event Log.xes,0.1,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",105,945,23,48,107,13,35,16,13,3,"[""Release C"", ""Release D"", ""Release E""]",0,[],0.8125,24,2,9,74,1,21,69,13576,11093,2483,56,16461,14465,2982,1254,0.86607626321738,2483,0.18289628756629345,1,11093,0.8171037124337065,0.8782546529106192,0.012178389693239255,13576,10213,17136,17136,7700,0.03159400000004098,1.0980603999996674,1.1296543999997084,0.08088246906302796,13576
Sepsis Cases - Event Log.xes,0.2,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",210,840,26,61,131,15,46,16,15,1,"[""Release E""]",0,[],0.9375,24,2,9,76,1,24,84,11903,10273,1630,7,13858,12736,1822,1833,0.8623004288925504,1630,0.1369402671595396,1,10273,0.8630597328404603,0.8748456431320881,0.012545214239537694,11903,9851,17624,17624,4992,0.04349989999900572,1.0822491999933845,1.1257490999923903,0.09092238931306262,11903
