dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,generalization,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
artificial_log.xes,0.2,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",2,8,5,4,6,4,0,4,4,0,[],0,[],1.0,4,1,2,6,1,1,4,34,26,8,0,24,42,8,26,0.5238095238095238,8,0.23529411764705882,1,26,0.7647058823529411,0.4857142857142857,-0.038095238095238126,34,8,8,8,8,0.0016738000049372204,0.0010018999964813702,0.0026757000014185905,0.02946764695533442,34
artificial_log.xes,0.4,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",4,6,3,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,25,6,19,0,31,31,19,19,0.3870967741935484,19,0.76,1,6,0.24,0.38095238095238093,-0.006144393241167445,25,30,7,7,18,0.0010074000019812956,0.001055399996403139,0.0020627999983844347,0.04221599985612556,25
artificial_log.xes,0.6,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",6,4,3,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,16,4,12,0,20,20,12,12,0.4,12,0.75,1,4,0.25,0.375,-0.025000000000000022,16,20,4,4,12,0.0011325000014039688,0.000720199997886084,0.0018526999992900528,0.04501249986788025,16
artificial_log.xes,0.8,1,org:group,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",8,2,2,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,8,2,6,0,10,10,6,6,0.4,6,0.75,1,2,0.25,0.38095238095238093,-0.01904761904761909,8,12,2,2,6,0.0011644999976851977,0.0003317000009701587,0.0014961999986553565,0.04146250012126984,8
