dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,generalization,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
artificial_log.xes,0.2,1,org:group,token_replay,distributed,alpha,alpha,{},2,8,5,4,9,4,0,4,4,0,[],0,[],1.0,4,1,3,9,1,1,4,34,15,19,0,51,42,22,13,0.6295518207282913,19,0.5588235294117647,1,15,0.4411764705882353,0.696969696969697,0.06741787624140572,34,26,17,17,26,0.014329199999338016,0.0009802000131458044,0.01530940001248382,0.028829412151347187,34
artificial_log.xes,0.4,1,org:group,token_replay,distributed,alpha,alpha,{},4,6,3,4,9,4,0,4,4,0,[],0,[],1.0,4,2,3,9,1,1,4,25,5,20,0,37,31,22,16,0.44463818657367044,20,0.8,1,5,0.2,0.4734432234432235,0.028805036869553047,25,24,7,7,24,0.00034410000080242753,0.001423199981218204,0.0017672999820206314,0.056927999248728156,25
artificial_log.xes,0.6,1,org:group,token_replay,distributed,alpha,alpha,{},6,4,3,4,9,4,0,4,4,0,[],0,[],1.0,4,1,3,9,1,1,4,16,3,13,0,24,20,14,10,0.4583333333333333,13,0.8125,1,3,0.1875,0.4685908319185059,0.010257498585172609,16,16,4,4,16,0.0005603999888990074,0.0006493999972008169,0.0012097999860998243,0.040587499825051054,16
artificial_log.xes,0.8,1,org:group,token_replay,distributed,alpha,alpha,{},8,2,2,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,8,2,6,0,10,10,6,6,0.4,6,0.75,1,2,0.25,0.38095238095238093,-0.01904761904761909,8,6,2,2,6,0.0011888000008184463,0.0005757999897468835,0.0017645999905653298,0.07197499871836044,8
