dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,generalization,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,token_replay,distributed,inductive,inductive,{},1503,148867,19,28,60,11,17,11,11,0,[],0,[],1.0,11,2,5,25,1,7,28,555855,555681,174,0,704722,853589,190,239,0.999725197951778,174,0.0003130312761421594,1,555681,0.9996869687238579,1.0,0.00027480204822194487,555855,898393,1037761,1037761,521730,0.07389020000118762,67.19407059999503,67.26796079999622,0.12088417051208504,555855
Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,token_replay,distributed,inductive,inductive,{},7518,142852,27,35,80,11,24,11,11,0,[],0,[],1.0,11,2,5,28,1,8,35,533451,533368,83,0,676303,819155,83,84,0.9998873646241657,83,0.0001555906728078118,1,533368,0.9998444093271922,1.0,0.00011263537583428018,533451,886252,1316338,1316338,432480,0.18320829999720445,83.33934790000058,83.52255619999778,0.156226809772595,533451
Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,token_replay,distributed,inductive,inductive,{},15037,135333,27,35,80,11,24,11,11,0,[],0,[],1.0,11,2,6,29,1,8,35,505486,505447,39,0,640819,776152,39,49,0.9999380042087256,39,7.71534721040741e-05,1,505447,0.999922846527896,1.0,6.199579127441623e-05,505486,895216,1310315,1310315,541798,0.37059640000370564,82.14221949999774,82.51281590000144,0.16250147283999505,505486
Road_Traffic_Fine_Management_Process.xes,0.2,1,concept:name,token_replay,distributed,inductive,inductive,{},30074,120296,25,36,80,11,25,11,11,0,[],0,[],1.0,11,2,4,28,1,8,36,449579,449579,0,0,569875,690171,0,0,1.0,0,0.0,0,449579,1.0,1.0,0.0,449579,1578160,1352083,1352083,899507,1.0798983999993652,146.24249460000283,147.3223930000022,0.3252876459977063,449579
