dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,generalization,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
Hospital_log.xes,0.01,1,org:group,token_replay,distributed,inductive,inductive,{},11,1132,268,415,888,132,283,132,132,0,[],0,[],1.0,15,2,161,328,1,260,428,148155,137945,10210,7562,141725,141725,2664,13443,0.9431751631681073,10210,0.06891431271303702,1,137945,0.931085687286963,0.9887376818395119,0.045562518671404595,148155,371618,1048637,1048637,198761,20.792844861745834,297.35399937443435,318.1468442361802,2.0070466698689504,148155
Hospital_log.xes,0.05,1,org:group,token_replay,distributed,inductive,inductive,{},57,1086,383,642,1370,230,412,230,230,0,[],0,[],1.0,24,2,191,491,1,341,674,141091,134316,6775,2597,139580,139580,4288,10243,0.9479474136695802,6775,0.04801865462715552,1,134316,0.9519813453728445,0.9956173574288496,0.04766994375926936,141091,439090,847406,847406,222379,72.44814249500632,585.3575929328799,657.8057354278862,4.148794699398827,141091
Hospital_log.xes,0.075,1,org:group,token_replay,distributed,inductive,inductive,{},85,1058,414,695,1492,255,440,255,255,0,[],0,[],1.0,24,2,181,548,1,325,733,137281,120082,17199,2113,136226,136226,15581,73128,0.6744050328131194,17199,0.1252831782985264,1,120082,0.8747168217014736,0.6774982796849912,0.0030932468718718464,137281,149286,421673,421673,64160,153.91138749197125,905.7657432183623,1059.6771307103336,6.597895872104386,137281
Hospital_log.xes,0.1,1,org:group,token_replay,distributed,inductive,inductive,{},114,1029,427,713,1554,265,448,265,265,0,[],0,[],1.0,24,2,166,559,1,296,751,135159,115248,19911,2013,134175,134175,18500,87726,0.6041512949506243,19911,0.14731538410316738,1,115248,0.8526846158968326,0.5922849638870651,-0.011866331063559166,135159,228303,485985,485985,100047,201.8269626442343,1424.2174260411412,1626.0443886853755,10.53734805703757,135159
