dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,fitness,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
Sepsis Cases - Event Log.xes,0.2,1,org:group,token_replay,distributed,alpha,alpha,{},210,840,8,16,39,16,0,24,1,7,53,1,5,39,11903,3065,8838,3,13820,15143,10426,9211,0.31865913028071124,8838,0.7425018902797614,1,3065,0.2574981097202386,11903,9394,4426,4426,9394,0.026967599987983704,0.3021802995353937,0.3291478995233774,0.025386902422531606,11903
Sepsis Cases - Event Log.xes,0.4,1,org:group,token_replay,distributed,alpha,alpha,{},420,630,7,16,39,16,0,24,1,6,51,1,5,39,8879,2861,6018,3,9127,11305,6858,6495,0.33703924962348836,6018,0.6777790291699516,1,2861,0.3222209708300484,8879,6396,2731,2731,6396,0.036804200150072575,0.14290920086205006,0.17971340101212263,0.016095190996964756,8879
Sepsis Cases - Event Log.xes,0.6,1,org:group,token_replay,distributed,alpha,alpha,{},630,420,7,16,38,16,0,24,1,6,49,1,5,39,5908,2119,3789,3,5231,7496,3881,4469,0.3309461088735633,3789,0.6413337846987136,1,2119,0.3586662153012864,5908,3850,1381,1381,3850,0.0684054996818304,0.09942959994077682,0.16783509962260723,0.016829654695459852,5908
Sepsis Cases - Event Log.xes,0.8,1,org:group,token_replay,distributed,alpha,alpha,{},840,210,6,16,33,16,0,25,1,5,39,1,5,41,2753,1020,1733,1,2390,3179,1754,1711,0.36394461035482595,1733,0.629495096258627,1,1020,0.37050490374137307,2753,1698,692,692,1698,0.06734649930149317,0.09290250018239021,0.16024899948388338,0.03374591361510724,2753
