dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,generalization,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
artificial_log.xes,0.2,1,org:group,token_replay,distributed,inductive,inductive,{},2,8,8,8,18,4,4,4,4,0,[],0,[],1.0,4,2,3,9,1,4,8,34,24,10,0,42,42,10,13,0.7261904761904762,10,0.29411764705882354,1,24,0.7058823529411765,1.0,0.27380952380952384,34,28,48,48,6,0.010741499994765036,0.001651299993682187,0.012392799988447223,0.0485676468730055,34
artificial_log.xes,0.4,1,org:group,token_replay,distributed,inductive,inductive,{},4,6,14,16,36,4,12,4,4,0,[],0,[],1.0,4,2,4,14,1,6,16,25,21,4,0,31,31,4,4,0.8709677419354839,4,0.16,1,21,0.84,1.0,0.12903225806451613,25,30,64,64,12,0.00271950000023935,0.0015873000011197291,0.004306800001359079,0.06349200004478917,25
artificial_log.xes,0.6,1,org:group,token_replay,distributed,inductive,inductive,{},6,4,14,15,36,4,11,4,4,0,[],0,[],1.0,4,2,6,14,1,7,15,16,16,0,0,20,20,0,0,1.0,0,0.0,0,16,1.0,1.0,0.0,16,24,40,40,12,0.004815800006326754,0.0017508000019006431,0.006566600008227397,0.1094250001187902,16
artificial_log.xes,0.8,1,org:group,token_replay,distributed,inductive,inductive,{},8,2,14,15,36,4,11,4,4,0,[],0,[],1.0,4,2,6,14,1,7,15,8,8,0,0,10,10,0,0,1.0,0,0.0,0,8,1.0,1.0,0.0,8,12,20,20,6,0.0026666999983717687,0.0008218000002671033,0.003488499998638872,0.10272500003338791,8
