dataset,training_split,random_seed,location_key,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,training_traces,test_traces,places,transitions,arcs,labeled_transitions,silent_transitions,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,total_events,matched_events,mismatches,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,fitness,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,route_calls,remote_calls,local_calls,local_token_checks,remote_token_checks,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
Road_Traffic_Fine_Management_Process.xes,0.2,1,org:resource,token_replay,distributed,alpha,alpha,{},30074,120296,3,2,5,2,0,145,2,3,434,1,1,145,120767,120295,472,13,120754,241037,459,120284,0.7485858816816222,472,0.003908352447274503,1,120295,0.9960916475527255,120767,115200,5554,5554,115200,0.4894362000050023,50.89398540000548,51.38342160001048,0.42142294997810226,120767
Road_Traffic_Fine_Management_Process.xes,0.4,1,org:resource,token_replay,distributed,alpha,alpha,{},60148,90222,3,2,5,2,0,148,2,3,443,1,1,148,90570,90230,340,0,90570,180792,340,90214,0.7486263396412598,340,0.003754002429060395,1,90230,0.9962459975709396,90570,86422,4148,4148,86422,0.6316164000018034,38.14269459999923,38.774311000001035,0.42114049464501746,90570
Road_Traffic_Fine_Management_Process.xes,0.6,1,org:resource,token_replay,distributed,alpha,alpha,{},90222,60148,3,2,5,2,0,148,2,3,443,1,1,148,60388,60152,236,0,60388,120536,236,60144,0.7485603385490187,236,0.003908061204212758,1,60152,0.9960919387957873,60388,58709,1679,1679,58709,0.9410276999988127,20.435693499995978,21.37672119999479,0.3384065294428691,60388
Road_Traffic_Fine_Management_Process.xes,0.8,1,org:resource,token_replay,distributed,alpha,alpha,{},120296,30074,3,2,5,2,0,148,2,3,443,1,1,148,30186,30076,110,0,30186,60260,110,30072,0.7486592112198979,110,0.003644073411515272,1,30076,0.9963559265884847,30186,29338,848,848,29338,2.423717099998612,14.755689700003131,17.179406800001743,0.4888256045850107,30186
