approach,dataset,training_split,random_seed,location_key,training_traces,test_traces,total_events,matches,mismatches,generalization,exact_pct,unknown_node,invalid_predecessor,invalid_end,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,requests_per_event,nodes,activities,matrix_entries,max_node_matrix_entries,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,1503,148867,704722,703255,1467,0.997918328078306,0.997918328078306,0,1467,0,1.0,0.0020816719216939505,555855,6364008,8518,9.030522674189255,11,11,36,9,0.008577900007367134,4.211618100001942,4.2201960000093095,0.005976282988188168,704722
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,7518,142852,676303,676005,298,0.9995593690993534,0.9995593690993534,0,298,0,1.0,0.00044063090064661026,533451,6107496,8212,9.030709607971575,11,11,47,10,0.04198129998985678,3.6711069000011776,3.7130881999910343,0.005428198455427785,676303
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,15037,135333,640819,640674,145,0.9997737270586546,0.9997737270586546,0,145,0,1.0,0.00022627294134536236,505486,5787354,7812,9.03118353232348,11,11,52,11,0.07836860000679735,3.4985842000023695,3.576952800009167,0.005459551292958494,640819
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.2,1,concept:name,30074,120296,569875,569814,61,0.999892958982233,0.999892958982233,0,61,0,1.0,0.00010704101776704,449579,5147412,6944,9.032528186005703,11,11,59,11,0.1457224000041606,3.1836128999857465,3.329335299989907,0.005586510901488478,569875
