approach,dataset,training_split,random_seed,location_key,training_traces,test_traces,total_events,matches,mismatches,generalization,exact_pct,unknown_node,invalid_predecessor,invalid_end,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,requests_per_event,nodes,activities,matrix_entries,max_node_matrix_entries,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
checkmyflow,artificial_log.xes,0.2,1,org:group,2,8,42,12,30,0.2857142857142857,0.2857142857142857,0,22,8,1.0,0.7142857142857143,34,154,0,3.6666666666666665,4,4,8,3,9.400001727044582e-05,0.00023030000738799572,0.00032430002465844154,0.005483333509237994,42
checkmyflow,artificial_log.xes,0.4,1,org:group,4,6,31,22,9,0.7096774193548387,0.7096774193548387,0,8,1,1.0,0.29032258064516125,25,113,0,3.6451612903225805,4,4,16,5,4.539999645203352e-05,0.00014029999147169292,0.00018569998792372644,0.004525806176506224,31
checkmyflow,artificial_log.xes,0.6,1,org:group,6,4,20,17,3,0.85,0.85,0,2,1,1.0,0.15000000000000002,16,72,0,3.6,4,4,18,5,5.050000618211925e-05,0.00010149998706765473,0.00015199999324977398,0.0050749993533827364,20
checkmyflow,artificial_log.xes,0.8,1,org:group,8,2,10,10,0,1.0,1.0,0,0,0,1.0,0.0,8,36,0,3.6,4,4,20,5,6.10999995842576e-05,4.810001701116562e-05,0.00010920001659542322,0.004810001701116562,10
