approach,dataset,training_split,random_seed,location_key,training_traces,test_traces,total_events,matches,mismatches,generalization,exact_pct,unknown_node,invalid_predecessor,invalid_end,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,requests_per_event,nodes,activities,matrix_entries,max_node_matrix_entries,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
checkmyflow,Hospital_log.xes,0.01,1,org:group,11,1132,149287,121243,28044,0.8121470724175581,0.8121470724175581,853,26967,224,1.0,0.18785292758244188,148155,5140379,235700,34.43286421456657,15,145,447,213,0.003679400004330091,1.1451197999995202,1.1487992000038503,0.007670592884842753,149287
checkmyflow,Hospital_log.xes,0.05,1,org:group,57,1086,142177,130300,11877,0.916463281684098,0.916463281684098,232,11499,146,1.0,0.08353671831590204,141091,5028809,224332,35.37005985496951,24,262,1046,484,0.008461899997200817,1.2450924000004306,1.2535542999976315,0.008757340498114538,142177
checkmyflow,Hospital_log.xes,0.075,1,org:group,85,1058,138339,128308,10031,0.9274897172886893,0.9274897172886893,232,9725,74,1.0,0.07251028271131066,137281,4882493,218138,35.293684355098705,24,293,1255,548,0.01595390000147745,1.0462209999968763,1.0621748999983538,0.007562733574746646,138339
checkmyflow,Hospital_log.xes,0.1,1,org:group,114,1029,136188,127009,9179,0.9326005228067084,0.9326005228067084,232,8901,46,1.0,0.06739947719329165,135159,4806477,214810,35.29295532646048,24,303,1363,569,0.032047899992903695,1.1844081000017468,1.2164559999946505,0.00869686095692533,136188
