approach,dataset,training_split,random_seed,location_key,training_traces,test_traces,total_events,matches,mismatches,fitness,sum_step_loss,avg_step_loss,max_step_loss,exact_count,exact_pct,unknown_node,invalid_predecessor,total_route,total_remote,total_queried,requests_per_event,nodes,activities,matrix_entries,final_states,max_node_matrix_entries,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,total_compute
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.2,1,org:group,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6.800051778554916e-06,6.200047209858894e-06,1.300009898841381e-05,0.0,0
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.4,1,org:group,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1.700012944638729e-05,1.71000137925148e-05,3.410014323890209e-05,0.0,0
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.6,1,org:group,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1.090019941329956e-05,9.899958968162537e-06,2.0800158381462097e-05,0.0,0
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.8,1,org:group,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1.0200077667832375e-05,1.0299962013959885e-05,2.050003968179226e-05,0.0,0
