approach,dataset,training_split,random_seed,location_key,scenario,manipulation_type,manipulation_probability,max_manipulations_per_trace,max_manipulations_per_trace_pct,baseline_score,manipulated_score,score_drop,manipulated_events,inserted_events,deleted_events,original_events,resulting_events,manipulated_events_pct,manipulated_traces,total_traces,manipulated_traces_pct,total_events,matches,mismatches,generalization,exact_pct,unknown_node,invalid_predecessor,invalid_end,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,requests_per_event,nodes,activities,matrix_entries,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,matched_events,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,exact_count,local_token_checks,remote_token_checks,total_compute
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,manipulated,deletion,0.2,2,0.25,0.908212805950597,0.8102342814114335,0.09797852453916345,77047,0,77047,533451,456404,0.14443125985329486,76505,142852,0.5355542799540783,456404,,96906,0.8102342814114335,0.7876749546454457,,,,0.9085848779501595,0.09835059653872602,456404,356956,335378,,,,,0.39744010000140406,80.46310369999992,80.86054380000132,0.17629798095546909,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",16,28,60,11,17,11,11,0,[],0,[],1.0,11,1,3,25,1,5,28,359498,0,605363,599256,117614,111009,359498,335378,268098,456404
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,manipulated,insertion,0.2,2,0.25,0.908212805950597,0.8145191220919281,0.09369368385866883,90474,90474,0,533451,623925,0.16960133170619232,89855,142852,0.629007644275194,623925,,137447,0.8145191220919281,0.7797058941379172,,,,0.9085848779501595,0.0940657558582314,623925,502407,432262,,,,,0.39744010000140406,101.884109300001,102.2815494000024,0.1632954430420339,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",16,28,60,11,17,11,11,0,[],0,[],1.0,11,1,3,25,1,5,28,486478,0,781831,766777,152848,134540,486478,432262,388561,623925
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,baseline,none,0.0,2,0.25,0.9997737270586546,0.9997737270586546,0.0,0,0,0,505486,505486,0.0,0,135333,0.0,640819,640674,145,0.9997737270586546,0.9997737270586546,0,145,0,1.0,0.00022627294134536236,505486,5787354,7812,9.03118353232348,11,11,52,0.1403470000004745,6.986643399999593,7.126990400000068,0.010902678291373372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,manipulated,deletion,0.2,2,0.25,0.9997737270586546,0.8837020438506555,0.1160716832079991,73165,0,73165,505486,432321,0.14474189196139953,72649,135333,0.5368165931443181,567654,501637,66017,0.8837020438506555,0.8837020438506555,0,46198,19819,1.0,0.11629795614934446,432321,4910594,6592,8.650681577157917,11,11,52,0.1403470000004745,5.885322299996915,6.025669299997389,0.01036779851810595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,manipulated,insertion,0.2,2,0.25,0.9997737270586546,0.8427166313748923,0.15705709568376236,85507,85507,0,505486,590993,0.1691579984411042,84947,135333,0.6276887381496014,726326,612087,114239,0.8427166313748923,0.8427166313748923,0,107416,6823,1.0,0.15728336862510772,590993,6790204,31046,9.348700170446879,11,11,52,0.1403470000004745,7.633029199998418,7.773376199998893,0.01050909536488907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,baseline,none,0.0,2,0.25,0.9067300862851422,0.9067300862851422,0.0,0,0,0,505486,505486,0.0,0,135333,0.0,505486,,62135,0.9067300862851422,0.8770786925849579,,,,0.9072054468441966,0.0004753605590543941,505486,400624,482073,,,,,0.8810103999931016,45.28666879999946,46.16767919999256,0.08959035225505643,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",18,31,68,11,20,11,11,0,[],0,[],1.0,11,2,4,27,1,5,31,443351,0,646402,640819,62838,57243,443351,482073,249351,505486
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,manipulated,deletion,0.2,2,0.25,0.9067300862851422,0.8089672785071709,0.0977628077779713,73165,0,73165,505486,432321,0.14474189196139953,72649,135333,0.5368165931443181,432321,,91573,0.8089672785071709,0.7881828548694142,,,,0.9072054468441966,0.0982381683370257,432321,329048,404563,,,,,0.8810103999931016,41.03208699999959,41.913097399992694,0.09491115860668252,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",18,31,68,11,20,11,11,0,[],0,[],1.0,11,2,4,27,1,5,31,340748,0,572448,567654,111531,106284,340748,404563,207167,432321
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,manipulated,insertion,0.2,2,0.25,0.9067300862851422,0.8056601945303938,0.10106989175474834,85507,85507,0,505486,590993,0.1691579984411042,84947,135333,0.6276887381496014,590993,,137794,0.8056601945303938,0.7668432621029352,,,,0.9072054468441966,0.10154525231380274,590993,474981,529597,,,,,0.8810103999931016,49.102214899998216,49.98322529999132,0.08308425801997353,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",18,31,68,11,20,11,11,0,[],0,[],1.0,11,2,4,27,1,5,31,453199,0,755021,726326,160079,128313,453199,529597,320935,590993
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.2,1,concept:name,baseline,none,0.0,2,0.25,0.999892958982233,0.999892958982233,0.0,0,0,0,449579,449579,0.0,0,120296,0.0,569875,569814,61,0.999892958982233,0.999892958982233,0,61,0,1.0,0.00010704101776704,449579,5147412,6944,9.032528186005703,11,11,59,0.1814483999987715,4.062707999997656,4.244156399996427,0.007129121298526266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.2,1,concept:name,manipulated,deletion,0.2,2,0.25,0.999892958982233,0.884486135286651,0.11540682369558197,64888,0,64888,449579,384691,0.1443305848360355,64437,120296,0.5356537208219725,504987,446654,58333,0.884486135286651,0.884486135286651,0,40925,17408,1.0,0.11551386471334901,384691,4369798,5902,8.653288104446252,11,11,59,0.1814483999987715,3.3727369000043836,3.554185300003155,0.006678858861721953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.2,1,concept:name,manipulated,insertion,0.2,2,0.25,0.999892958982233,0.8493074140517013,0.15058554493053167,76182,76182,0,449579,525761,0.16945186496700246,75683,120296,0.6291397885216466,646057,548701,97356,0.8493074140517013,0.8493074140517013,0,91197,6159,1.0,0.1506925859482987,525761,6040870,27670,9.350366918089271,11,11,59,0.1814483999987715,4.166060800002015,4.347509200000786,0.00644844154618248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.2,1,concept:name,baseline,none,0.0,2,0.25,0.9097249396797544,0.9097249396797544,0.0,0,0,0,449579,449579,0.0,0,120296,0.0,449579,,51605,0.9097249396797544,0.8852148343227775,,,,0.9085971894481034,-0.0011277502316510146,449579,351866,430079,,,,,1.0697008000061032,40.50563539999712,41.57533620000322,0.0900968136856862,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",19,34,72,11,23,11,11,0,[],0,[],1.0,11,2,3,24,1,6,34,397974,0,569875,569875,51605,51286,397974,430079,216596,449579
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.2,1,concept:name,manipulated,deletion,0.2,2,0.25,0.9097249396797544,0.8109654307932679,0.09875950888648655,64888,0,64888,449579,384691,0.1443305848360355,64437,120296,0.5356537208219725,384691,,78797,0.8109654307932679,0.7951680699574464,,,,0.9085971894481034,0.09763175865483553,384691,288707,361091,,,,,1.0697008000061032,37.827169199998025,38.89687000000413,0.09833130798484505,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",19,34,72,11,23,11,11,0,[],0,[],1.0,11,2,3,24,1,6,34,305894,0,504987,504987,95739,95181,305894,361091,179637,384691
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.2,1,concept:name,manipulated,insertion,0.2,2,0.25,0.9097249396797544,0.8182590700201375,0.0914658696596169,76182,76182,0,449579,525761,0.16945186496700246,75683,120296,0.6291397885216466,525761,,118091,0.8182590700201375,0.7753903389562938,,,,0.9085971894481034,0.09033811942796588,525761,389998,479260,,,,,1.0697008000061032,44.321532499998284,45.39123330000439,0.08429977213980931,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",19,34,72,11,23,11,11,0,[],0,[],1.0,11,2,3,24,1,6,34,407670,0,646057,646057,118947,115883,407670,479260,252696,525761
