approach,dataset,training_split,random_seed,location_key,scenario,manipulation_type,manipulation_probability,max_manipulations_per_trace,max_manipulations_per_trace_pct,baseline_score,manipulated_score,score_drop,manipulated_events,inserted_events,deleted_events,original_events,resulting_events,manipulated_events_pct,manipulated_traces,total_traces,manipulated_traces_pct,total_events,matches,mismatches,generalization,exact_pct,unknown_node,invalid_predecessor,invalid_end,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,requests_per_event,nodes,activities,matrix_entries,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,matched_events,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,exact_count,local_token_checks,remote_token_checks,total_compute
distributed_tbr,artificial_log.xes,0.4,1,org:group,manipulated,deletion,0.2,2,0.25,0.3870967741935484,0.4444444444444444,-0.05734767025089604,4,0,4,25,21,0.16,4,6,0.6666666666666666,21,,15,0.4444444444444444,0.2857142857142857,,,,0.38095238095238093,-0.06349206349206349,21,22,7,,,,,0.0005954999942332506,0.0005226000066613778,0.0011181000008946285,0.024885714602922753,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",3,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,6,0,27,27,15,15,6,7,14,21
distributed_tbr,artificial_log.xes,0.4,1,org:group,manipulated,insertion,0.2,2,0.25,0.3870967741935484,0.34285714285714286,0.044239631336405516,4,4,0,25,29,0.16,4,6,0.6666666666666666,29,,23,0.34285714285714286,0.20689655172413793,,,,0.38095238095238093,0.03809523809523807,29,36,7,,,,,0.0005954999942332506,0.0007384000055026263,0.001333899999735877,0.025462069155262976,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",3,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,6,0,35,35,23,23,6,7,22,29
checkmyflow,artificial_log.xes,0.6,1,org:group,baseline,none,0.0,2,0.25,0.85,0.85,0.0,0,0,0,16,16,0.0,0,4,0.0,20,17,3,0.85,0.85,0,2,1,1.0,0.15000000000000002,16,72,0,3.6,4,4,18,5.539999983739108e-05,0.00012820000119972974,0.00018360000103712082,0.006410000059986487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.6,1,org:group,manipulated,deletion,0.2,2,0.25,0.85,0.8421052631578947,0.007894736842105288,1,0,1,16,15,0.0625,1,4,0.25,19,16,3,0.8421052631578947,0.8421052631578947,0,2,1,1.0,0.1578947368421053,15,67,0,3.526315789473684,4,4,18,5.539999983739108e-05,0.00012549999519251287,0.00018089999502990395,0.006605262904869099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.6,1,org:group,manipulated,insertion,0.2,2,0.25,0.85,0.8571428571428571,-0.0071428571428571175,1,1,0,16,17,0.0625,1,4,0.25,21,18,3,0.8571428571428571,0.8571428571428571,0,2,1,1.0,0.1428571428571429,17,77,0,3.6666666666666665,4,4,18,5.539999983739108e-05,0.0001410000040777959,0.00019640000391518697,0.006714285908466471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,artificial_log.xes,0.6,1,org:group,baseline,none,0.0,2,0.25,0.4,0.4,0.0,0,0,0,16,16,0.0,0,4,0.0,16,,12,0.4,0.25,,,,0.375,-0.025000000000000022,16,20,4,,,,,0.0009554999996908009,0.0006681000013486482,0.0016236000010394491,0.041756250084290514,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",3,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,4,0,20,20,12,12,4,4,12,16
distributed_tbr,artificial_log.xes,0.6,1,org:group,manipulated,deletion,0.2,2,0.25,0.4,0.42105263157894735,-0.021052631578947323,1,0,1,16,15,0.0625,1,4,0.25,15,,11,0.42105263157894735,0.26666666666666666,,,,0.375,-0.046052631578947345,15,18,4,,,,,0.0009554999996908009,0.0017446999991079792,0.00270019999879878,0.11631333327386528,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",3,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,4,0,19,19,11,11,4,4,11,15
distributed_tbr,artificial_log.xes,0.6,1,org:group,manipulated,insertion,0.2,2,0.25,0.4,0.38095238095238093,0.01904761904761909,1,1,0,16,17,0.0625,1,4,0.25,17,,13,0.38095238095238093,0.23529411764705882,,,,0.375,-0.005952380952380931,17,22,4,,,,,0.0009554999996908009,0.0014727000016137026,0.0024282000013045035,0.08662941185962957,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",3,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,4,0,21,21,13,13,4,4,13,17
checkmyflow,artificial_log.xes,0.8,1,org:group,baseline,none,0.0,2,0.25,1.0,1.0,0.0,0,0,0,8,8,0.0,0,2,0.0,10,10,0,1.0,1.0,0,0,0,1.0,0.0,8,36,0,3.6,4,4,20,0.0001306000049225986,7.449999975506216e-05,0.00020510000467766076,0.007449999975506216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.8,1,org:group,manipulated,deletion,0.2,2,0.25,1.0,1.0,0.0,2,0,2,8,6,0.25,2,2,1.0,8,8,0,1.0,1.0,0,0,0,1.0,0.0,6,26,0,3.25,4,4,20,0.0001306000049225986,6.589999975403771e-05,0.0001965000046766363,0.008237499969254714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.8,1,org:group,manipulated,insertion,0.2,2,0.25,1.0,1.0,0.0,2,2,0,8,10,0.25,2,2,1.0,12,12,0,1.0,1.0,0,0,0,1.0,0.0,10,46,0,3.8333333333333335,4,4,20,0.0001306000049225986,8.100000559352338e-05,0.00021160001051612198,0.006750000466126949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,artificial_log.xes,0.8,1,org:group,baseline,none,0.0,2,0.25,0.4,0.4,0.0,0,0,0,8,8,0.0,0,2,0.0,8,,6,0.4,0.25,,,,0.38095238095238093,-0.01904761904761909,8,12,2,,,,,0.0018987000003107823,0.0004697999975178391,0.0023684999978286214,0.058724999689729884,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",2,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,2,0,10,10,6,6,2,2,6,8
distributed_tbr,artificial_log.xes,0.8,1,org:group,manipulated,deletion,0.2,2,0.25,0.4,0.5,-0.09999999999999998,2,0,2,8,6,0.25,2,2,1.0,6,,4,0.5,0.3333333333333333,,,,0.38095238095238093,-0.11904761904761907,6,10,1,,,,,0.0018987000003107823,0.0002401999954599887,0.002138899995770771,0.04003333257666478,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",2,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,2,0,8,8,4,4,2,1,5,6
distributed_tbr,artificial_log.xes,0.8,1,org:group,manipulated,insertion,0.2,2,0.25,0.4,0.33333333333333337,0.06666666666666665,2,2,0,8,10,0.25,2,2,1.0,10,,8,0.33333333333333337,0.2,,,,0.38095238095238093,0.04761904761904756,10,16,2,,,,,0.0018987000003107823,0.0002705000006244518,0.002169200000935234,0.02705000006244518,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",2,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,2,0,12,12,8,8,2,2,8,10
