approach,dataset,training_split,random_seed,location_key,scenario,manipulation_type,manipulation_probability,max_manipulations_per_trace,max_manipulations_per_trace_pct,baseline_score,manipulated_score,score_drop,manipulated_events,inserted_events,deleted_events,original_events,resulting_events,manipulated_events_pct,manipulated_traces,total_traces,manipulated_traces_pct,total_events,matches,mismatches,generalization,exact_pct,unknown_node,invalid_predecessor,invalid_end,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,requests_per_event,nodes,activities,matrix_entries,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,matched_events,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,exact_count,local_token_checks,remote_token_checks,total_compute
distributed_tbr,artificial_log.xes,0.4,1,org:group,manipulated,deletion,0.2,2,0.25,0.44463818657367044,0.5050505050505051,-0.06041231847683465,4,0,4,25,21,0.16,4,6,0.6666666666666666,21,,16,0.5050505050505051,0.23809523809523808,,,,0.4734432234432235,-0.0316072816072816,21,28,7,,,,,0.0007415000000037253,0.0005497000020113774,0.0012912000020151027,0.026176190571970348,token_replay,distributed,alpha,alpha,{},3,4,9,4,0,4,4,0,[],0,[],1.0,4,2,3,9,1,1,4,5,0,33,27,18,12,5,7,20,21
distributed_tbr,artificial_log.xes,0.4,1,org:group,manipulated,insertion,0.2,2,0.25,0.44463818657367044,0.41904761904761906,0.025590567526051378,4,4,0,25,29,0.16,4,6,0.6666666666666666,29,,24,0.41904761904761906,0.1724137931034483,,,,0.4734432234432235,0.054395604395604424,29,43,7,,,,,0.0007415000000037253,0.0011687000005622394,0.0019102000005659647,0.040300000019387563,token_replay,distributed,alpha,alpha,{},3,4,9,4,0,4,4,0,[],0,[],1.0,4,2,3,9,1,1,4,5,0,42,35,26,19,5,7,29,29
checkmyflow,artificial_log.xes,0.6,1,org:group,baseline,none,0.0,2,0.25,0.85,0.85,0.0,0,0,0,16,16,0.0,0,4,0.0,20,17,3,0.85,0.85,0,2,1,1.0,0.15000000000000002,16,72,0,3.6,4,4,18,0.000185500000952743,0.0002069000038318336,0.0003924000047845766,0.01034500019159168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.6,1,org:group,manipulated,deletion,0.2,2,0.25,0.85,0.8421052631578947,0.007894736842105288,1,0,1,16,15,0.0625,1,4,0.25,19,16,3,0.8421052631578947,0.8421052631578947,0,2,1,1.0,0.1578947368421053,15,67,0,3.526315789473684,4,4,18,0.000185500000952743,0.00019579999934649095,0.00038130000029923394,0.010305263123499523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.6,1,org:group,manipulated,insertion,0.2,2,0.25,0.85,0.8571428571428571,-0.0071428571428571175,1,1,0,16,17,0.0625,1,4,0.25,21,18,3,0.8571428571428571,0.8571428571428571,0,2,1,1.0,0.1428571428571429,17,77,0,3.6666666666666665,4,4,18,0.000185500000952743,0.00013559999933931977,0.00032110000029206276,0.006457142825681894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,artificial_log.xes,0.6,1,org:group,baseline,none,0.0,2,0.25,0.4583333333333333,0.4583333333333333,0.0,0,0,0,16,16,0.0,0,4,0.0,16,,13,0.4583333333333333,0.1875,,,,0.4685908319185059,0.010257498585172609,16,24,4,,,,,0.0003519000019878149,0.0004269999990356155,0.0007789000010234304,0.026687499939725967,token_replay,distributed,alpha,alpha,{},3,4,9,4,0,4,4,0,[],0,[],1.0,4,1,3,9,1,1,4,3,0,24,20,14,10,3,4,16,16
distributed_tbr,artificial_log.xes,0.6,1,org:group,manipulated,deletion,0.2,2,0.25,0.4583333333333333,0.48054919908466825,-0.02221586575133494,1,0,1,16,15,0.0625,1,4,0.25,15,,12,0.48054919908466825,0.2,,,,0.4685908319185059,-0.011958367166162331,15,22,4,,,,,0.0003519000019878149,0.000486999997519888,0.0008388999995077029,0.03246666650132587,token_replay,distributed,alpha,alpha,{},3,4,9,4,0,4,4,0,[],0,[],1.0,4,1,3,9,1,1,4,3,0,23,19,13,9,3,4,15,15
distributed_tbr,artificial_log.xes,0.6,1,org:group,manipulated,insertion,0.2,2,0.25,0.4583333333333333,0.4304029304029304,0.027930402930402942,1,1,0,16,17,0.0625,1,4,0.25,17,,14,0.4304029304029304,0.17647058823529413,,,,0.4685908319185059,0.03818790151557555,17,27,4,,,,,0.0003519000019878149,0.0029174999945098534,0.0032693999964976683,0.17161764673587374,token_replay,distributed,alpha,alpha,{},3,4,9,4,0,4,4,0,[],0,[],1.0,4,1,3,9,1,1,4,3,0,26,21,16,11,3,4,18,17
checkmyflow,artificial_log.xes,0.8,1,org:group,baseline,none,0.0,2,0.25,1.0,1.0,0.0,0,0,0,8,8,0.0,0,2,0.0,10,10,0,1.0,1.0,0,0,0,1.0,0.0,8,36,0,3.6,4,4,20,0.00012520000018412247,4.140000237384811e-05,0.00016660000255797058,0.004140000237384811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.8,1,org:group,manipulated,deletion,0.2,2,0.25,1.0,1.0,0.0,2,0,2,8,6,0.25,2,2,1.0,8,8,0,1.0,1.0,0,0,0,1.0,0.0,6,26,0,3.25,4,4,20,0.00012520000018412247,3.3700001949910074e-05,0.00015890000213403255,0.004212500243738759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.8,1,org:group,manipulated,insertion,0.2,2,0.25,1.0,1.0,0.0,2,2,0,8,10,0.25,2,2,1.0,12,12,0,1.0,1.0,0,0,0,1.0,0.0,10,46,0,3.8333333333333335,4,4,20,0.00012520000018412247,4.539999645203352e-05,0.000170599996636156,0.00378333303766946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,artificial_log.xes,0.8,1,org:group,baseline,none,0.0,2,0.25,0.4,0.4,0.0,0,0,0,8,8,0.0,0,2,0.0,8,,6,0.4,0.25,,,,0.38095238095238093,-0.01904761904761909,8,12,2,,,,,0.0004996999996365048,0.0032328999950550497,0.0037325999946915545,0.4041124993818812,token_replay,distributed,alpha,alpha,{},2,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,2,0,10,10,6,6,2,2,6,8
distributed_tbr,artificial_log.xes,0.8,1,org:group,manipulated,deletion,0.2,2,0.25,0.4,0.5,-0.09999999999999998,2,0,2,8,6,0.25,2,2,1.0,6,,4,0.5,0.3333333333333333,,,,0.38095238095238093,-0.11904761904761907,6,10,1,,,,,0.0004996999996365048,0.0005640000017592683,0.0010637000013957731,0.09400000029321139,token_replay,distributed,alpha,alpha,{},2,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,2,0,8,8,4,4,2,1,5,6
distributed_tbr,artificial_log.xes,0.8,1,org:group,manipulated,insertion,0.2,2,0.25,0.4,0.33333333333333337,0.06666666666666665,2,2,0,8,10,0.25,2,2,1.0,10,,8,0.33333333333333337,0.2,,,,0.38095238095238093,0.04761904761904756,10,16,2,,,,,0.0004996999996365048,0.000359799996658694,0.0008594999962951988,0.0359799996658694,token_replay,distributed,alpha,alpha,{},2,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,2,0,12,12,8,8,2,2,8,10
